NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,AtivoTotal,Captacoes,CarteiraCreditoSimples,CarteiraCredito,LucroLiquido,PassivoTotal,PassivoExigivel,PatrimonioLiquido,TVM,Alavancagem,CoberturaCapt,CreditoSobreAtivo,ROE,CrescAtivo_QoQ,CrescAtivo_YoY,AtivoBase100,CrescPL_QoQ,CrescPL_YoY
Banco Daycoval,62232889,202306,2023-06-01,2023,2,2023Q2,69678097569.52,54991601700.33,,39224421617.65,458862511.01,63691469919.85,,5986627649.67,,11.638956295095596,0.7892236386830621,0.5629376086009606,0.07664791229086944,0.08126719428300389,0.09791156879270368,246.34679074851115,0.021412351934547935,0.13496924437585833
Banco Daycoval,62232889,202309,2023-09-01,2023,3,2023Q3,69762921348.01,56191886991.46,,39729212238.32,320708779.6,63558017880.82,,6204903467.19,,11.243192052366187,0.8054692364608508,0.5694889415558181,0.05168634472652621,0.0012173664529999684,0.06736076019110748,246.64668506737257,0.03646056349137261,0.13909038631961357
Banco Daycoval,62232889,202312,2023-12-01,2023,4,2023Q4,74148005946.51,60026280010.56,,43016677463.07,643066176.81,68011626237.42,,6136379709.09,,12.083347097421688,0.8095467874599711,0.5801461133574114,0.1047956950671431,0.06285695199925989,0.10057702188173212,262.150143911429,-0.011043484957072414,0.06934283217576342
Banco Daycoval,62232889,202403,2024-03-01,2024,1,2024Q1,71962017448.97,60624495726.93,,41043688907.47,367968194.33,65558192483.96,,6403824965.01,,11.237349215845974,0.8424513080100942,0.5703521157751736,0.05746068893833755,-0.029481419893030658,0.11670914413756406,254.42158544375775,0.043583557178481946,0.09259274196693945
Banco Daycoval,62232889,202406,2024-06-01,2024,2,2024Q2,77170502105.03,64246702167.46,,41989155418.96,806055685.0,70428042275.55,,6742459829.48,,11.445452261742528,0.8325292749815136,0.5441088793463109,0.11954920094231627,0.07237824675709592,0.10752883326119211,272.83617373533764,0.05288009374401614,0.12625341411565216
Banco Daycoval,62232889,202409,2024-09-01,2024,3,2024Q3,74179314233.45,60980680196.7,,39355001938.83,450637667.56,67089475145.78,,7089839087.67,,10.462764149676666,0.8220712314053952,0.5305387673843375,0.06356105716753259,-0.038760767261938445,0.06330573319040034,262.26083430454435,0.051521146135889095,0.14261875711029548
Banco Daycoval,62232889,202412,2024-12-01,2024,4,2024Q4,85226039215.54,67749568925.13,,45309514388.14,883223255.01,78152617555.25,,7073421660.29,,12.048771204182087,0.7949397807140689,0.5316393300121629,0.12486506494705267,0.14891921145731812,0.14940433161508948,301.31651094531554,-0.0023156276435880585,0.1527027328201238
Banco Daycoval,62232889,202503,2025-03-01,2025,1,2025Q1,75774111482.28,62834423349.32,42758564523.61,,451812227.750001,,68370499683.56,7403611798.72,17735875770.76,10.23474940911684,0.829233390140299,,0.06102592086582851,-0.11090422387641052,0.052973695964169565,267.8992371577773,0.04668039801496349,0.15612338550362592
Banco Daycoval,62232889,202506,2025-06-01,2025,2,2025Q2,80820455406.15,65595419322.81,47125369590.56,,867720753.599998,,73153550305.73,7666905100.42,15999400645.02,10.54147069092098,0.8116190263117293,,0.11317744803603523,0.0665972035191742,0.04729725998351508,285.7405771774053,0.03556281837271924,0.13710801314648635
Banco Daycoval,62232889,202509,2025-09-01,2025,3,2025Q3,85727556998.69,69280810286.47,44763625555.39,,473258290.77,,77747136562.34,7980420436.35,19557326283.82,10.742235660693982,0.8081509926560566,,0.05930242579881591,0.060716084410563864,0.155680096056112,303.0896261808319,0.04089203294205701,0.12561376043481975
Banco Inter,416968,201903,2019-03-01,2019,1,2019Q1,5958110966.61,4470655466.94,,3541533746.08,12074941.9300001,5010025728.74,,948085237.87,,6.284362131822336,0.7503478018442612,0.5944054694394245,0.01273613536808997,,,100.0,,
Banco Inter,416968,201906,2019-06-01,2019,2,2019Q2,6759375009.89,5077418586.86,,3888972089.35,45002264.3199999,5786723424.89,,972651585.0,,6.949430931004961,0.7511668725926522,0.5753449222242941,0.04626761012269353,0.13448290033038734,,113.44829003303873,0.025911538486973473,
Banco Inter,416968,201909,2019-09-01,2019,3,2019Q3,9257930385.51,6294961317.68,,4371408711.85,10608771.35,7069712658.25,,2188217727.26,,4.230808602900048,0.6799534081107939,0.47217990736805354,0.004848133354300115,0.3696429584043246,,155.38365158676302,1.2497446783680513,
Banco Inter,416968,201912,2019-12-01,2019,4,2019Q4,10038702890.87,6985159262.3,,4756329461.89,33877111.77,7837684371.98,,2201018518.89,,4.560935223722079,0.69582289049045,0.4737992062914609,0.01539156144269274,0.08433553427686413,,168.48801486122278,0.005849871093964731,
Banco Inter,416968,202003,2020-03-01,2020,1,2020Q1,10488150201.28,7363564846.0,,5140559747.34,-9869978.18000004,8340198023.71,,2147952177.57,,4.882860200893928,0.7020842288377346,0.4901302564023762,-0.004595064211888575,0.04477145257668336,0.7603146802832152,176.0314680283215,-0.024109902240514347,1.2655686343093597
Banco Inter,416968,202006,2020-06-01,2020,2,2020Q2,12394389206.65,9183172231.97,,5623400993.56,-9572146.32999998,10279227876.48,,2115161330.17,,5.859784324656614,0.7409136568862081,0.45370537424650664,-0.00452549230806458,0.18175168821832433,0.8336590570156428,208.02548452201898,-0.015266097514841648,1.1746341267412834
Banco Inter,416968,202009,2020-09-01,2020,3,2020Q3,16436338984.34,11589910808.75,,6865179193.83,-12370692.2,13184379648.36,,3251959335.98,,5.054287980322115,0.7051394364519059,0.41768298891686984,-0.0038040734590772513,0.32611125165581867,0.7753794098587354,275.8649356558027,0.5374521506208858,0.4861223796280889
Banco Inter,416968,202012,2020-12-01,2020,4,2020Q4,19766471206.9,14385973897.21,,8689450847.74,2375429.49999996,16463783455.18,,3302687751.72,,5.984965183767634,0.7277967699256406,0.439605570300617,0.0007192413205768136,0.20260790591705624,0.9690264192276485,331.7573525849683,0.015599338890476044,0.5005270166402711
Banco Inter,416968,202103,2021-03-01,2021,1,2021Q1,21136965194.81,15361189748.46,,10117382960.7,14871615.45,17970169545.73,,3166795649.08,,6.674559250752601,0.7267452828200619,0.4786582590004092,0.0046961083372463325,0.06933427689569571,1.015318696735521,354.75950873127744,-0.04114591292174952,0.47433247450724325
Banco Inter,416968,202106,2021-06-01,2021,2,2021Q2,29946705689.23,18106528010.3,,12396037586.22,24560248.66,21386583416.41,,8560122272.82,,3.498396954482348,0.6046250361625523,0.4139366017370684,0.0028691469440785228,0.4167930643412874,1.4161501781114474,502.62081147959634,1.7030864070142449,3.0470304324881
Banco Inter,416968,202109,2021-09-01,2021,3,2021Q3,33356568192.74,21075981988.39,,14584339889.45,14163204.9700001,24991967785.28,,8364600407.46,,3.987825666243521,0.6318390389145953,0.4372254305412706,0.001693231508987398,0.11386436087146379,1.0294402679648451,559.851408939417,-0.02284101314543352,1.5721725099429236
Banco Inter,416968,202112,2021-12-01,2021,4,2021Q4,36488605557.12,23309547220.61,,16996149381.68,10065369.5300003,27999965181.51,,8488640375.61,,4.298521782352914,0.6388171557863663,0.4657933380072276,0.0011857457831433924,0.09389567134971877,0.8459848080714936,612.4190328378696,0.014829156457895287,1.5702218961478325
